shortcode,date,title,price_mxn,price_usd,is_sold,caption_preview,url
CGiEB9NpD69,2020-10-19,$$$ NEW 2018 Fender Stratocaster HSS Heavy Relic Custom Shop $$$,71999,,SI,guitarshome   284w $$$ NEW 2018 Fender Stratocaster HSS Heavy Relic Custom Shop ,https://www.instagram.com/p/CGiEB9NpD69/
CCGtYUVp8hW,2020-07-01,$$$ NEW 2018 Fender Stratocaster HSS Heavy Relic Custom Shop $$$,71999,,SI,guitarshome   300w $$$ NEW 2018 Fender Stratocaster HSS Heavy Relic Custom Shop ,https://www.instagram.com/p/CCGtYUVp8hW/
B_2qgyNpK8A,2020-05-06,,71999,,SI,guitarshome   308w $$$ NEW 2018 Fender Stratocaster HSS Heavy Relic Custom Shop ,https://www.instagram.com/p/B_2qgyNpK8A/
B97PFCMJcX8,2020-03-19,,34999,,SI,guitarshome   315w $$$ NEW Fender American Elite $$$ - Fender American Elite Str,https://www.instagram.com/p/B97PFCMJcX8/
B7MNJeTpmKl,2020-01-11,,59999,,SI,"guitarshome   325w $$$ SUHR $$$ - Suhr Classic T Custom Order Zebrawood $59,999 ",https://www.instagram.com/p/B7MNJeTpmKl/
