shortcode,date,title,price_mxn,price_usd,is_sold,caption_preview,url
CyFHmptOwQ1,2023-10-07,Gibson Les Paul Historic 1959 Custom Shop R9 ’59 VOS 70th Anniversary 2022 - Southern Fade Burst,125999,,NO,guitarshome   130w Gibson Les Paul Historic 1959 Custom Shop R9 ’59 VOS 70th Ann,https://www.instagram.com/p/CyFHmptOwQ1/
CyEIp5MOhzE,2023-10-06,Duesenberg Starplayer TV - Black,57999,,NO,"guitarshome   130w Duesenberg Starplayer TV - Black   *** $57,999 ***  Visita WW",https://www.instagram.com/p/CyEIp5MOhzE/
CyCWJLgOrAP,2023-10-06,Gibson Les Paul Historic 1958 Custom Shop R8 ’58 VOS 70th Anniversary 2022 - Lemon Burst,,,NO,guitarshome   130w Gibson Les Paul Historic 1958 Custom Shop R8 ’58 VOS 70th Ann,https://www.instagram.com/p/CyCWJLgOrAP/
CyBub5sOwrl,2023-10-05,PRS CE-24 2022 - Eriza Verde,45999,,NO,"guitarshome   130w PRS CE-24 2022 - Eriza Verde   *** $45,999 ***  Visita WWW.GU",https://www.instagram.com/p/CyBub5sOwrl/
Cy9TTabu93s,2023-10-28,Rickenbacker 355JL John Lennon Limited Edition 1992 – Jetglo,91999,,NO,guitarshome   126w Rickenbacker 355JL John Lennon Limited Edition 1992 – Jetglo ,https://www.instagram.com/p/Cy9TTabu93s/
Cy8xQ9uO8Uj,2023-11-14,Edited,45999,,NO,guitarshome   Edited • 124w Gibson SG Standard '61 with Maestro Vibrola - Vintag,https://www.instagram.com/p/Cy8xQ9uO8Uj/
Cy6SgQtOyyk,2023-10-27,Fender Stratocaster 1962 Custom Shop ’62 Blues Special of 25 «Masterbuilt John Page» 1992 - Mary Kaye Blonde,79999,,NO,guitarshome   127w Fender Stratocaster 1962 Custom Shop ’62 Blues Special #4 of ,https://www.instagram.com/p/Cy6SgQtOyyk/
Cy69E4TOPdw,2023-10-27,Fender Stratocaster 1962 Custom Shop '62 - Heavy Relic Surf Green,75999,,NO,guitarshome   127w Fender Stratocaster 1962 Custom Shop '62 - Heavy Relic Surf G,https://www.instagram.com/p/Cy69E4TOPdw/
Cy4O3PxOJD2,2023-10-26,Rickenbacker 360/12 2022 – Jetglo,60999,,NO,"guitarshome   127w Rickenbacker 360/12 2022 – Jetglo  *** $60,999 ***  Visita WW",https://www.instagram.com/p/Cy4O3PxOJD2/
Cy3rHPoORH9,2023-10-26,Gibson Les Paul Standard '50s 2022 - Heritage Cherry Sunburst,57999,,NO,guitarshome   127w Gibson Les Paul Standard '50s 2022 - Heritage Cherry Sunburst,https://www.instagram.com/p/Cy3rHPoORH9/
